SiteID,470548,Site Timezone,8,Data Timezone,8,Longitude,121.28936,Latitude,14.181038
Year,Month,Day,Hour,Minute,surface air pressure (Pa),wind speed at 10m (m/s)
2020,1,1,0,0,100780,3.91
2020,1,1,0,15,100780,3.98
2020,1,1,0,30,100770,3.88
2020,1,1,0,45,100770,3.87
2020,1,1,1,0,100760,4.0200000000000005
2020,1,1,1,15,100750,4.16
2020,1,1,1,30,100740,4.04
2020,1,1,1,45,100730,4.09
2020,1,1,2,0,100720,4.12
2020,1,1,2,15,100710,4.2700000000000005
2020,1,1,2,30,100690,4.44
2020,1,1,2,45,100680,4.41
2020,1,1,3,0,100670,4.34
2020,1,1,3,15,100660,4.26
2020,1,1,3,30,100660,4.17
2020,1,1,3,45,100660,4.21
2020,1,1,4,0,100660,4.24
2020,1,1,4,15,100660,4.19
2020,1,1,4,30,100670,4.11
2020,1,1,4,45,100670,4.01
2020,1,1,5,0,100680,4.09
2020,1,1,5,15,100690,4.05
2020,1,1,5,30,100710,4
2020,1,1,5,45,100720,3.93
2020,1,1,6,0,100740,3.9
2020,1,1,6,15,100750,3.94
2020,1,1,6,30,100760,3.89
2020,1,1,6,45,100770,3.95
2020,1,1,7,0,100780,3.95
2020,1,1,7,15,100770,3.98
2020,1,1,7,30,100760,3.91
2020,1,1,7,45,100750,3.86
2020,1,1,8,0,101110,4.14
2020,1,1,8,15,101120,4.21
2020,1,1,8,30,101130,4.33
2020,1,1,8,45,101150,4.51
2020,1,1,9,0,101160,4.71
2020,1,1,9,15,101170,5.37
2020,1,1,9,30,101180,5.8500000000000005
2020,1,1,9,45,101190,6.140000000000001
2020,1,1,10,0,101200,6.04
2020,1,1,10,15,101180,6.11
2020,1,1,10,30,101160,6.04
2020,1,1,10,45,101150,6.12
2020,1,1,11,0,101130,6.2
2020,1,1,11,15,101110,6.5200000000000005
2020,1,1,11,30,101100,6.57
2020,1,1,11,45,101080,6.5600000000000005
2020,1,1,12,0,101070,6.67
2020,1,1,12,15,101050,6.68
2020,1,1,12,30,101040,6.69
2020,1,1,12,45,101020,6.5200000000000005
2020,1,1,13,0,101010,6.49
2020,1,1,13,15,101000,6.58
2020,1,1,13,30,100990,6.45
2020,1,1,13,45,100970,6.36
2020,1,1,14,0,100960,6.49
2020,1,1,14,15,100960,6.43
2020,1,1,14,30,100970,6.390000000000001
2020,1,1,14,45,100970,6.26
2020,1,1,15,0,100970,6.08
2020,1,1,15,15,100970,6.33
2020,1,1,15,30,100980,6.25
2020,1,1,15,45,100980,6.16
2020,1,1,16,0,100990,5.8
2020,1,1,16,15,101000,5.57
2020,1,1,16,30,101010,5.22
2020,1,1,16,45,101010,4.51
2020,1,1,17,0,101020,4.23
2020,1,1,17,15,101030,4.03
2020,1,1,17,30,101030,3.81
2020,1,1,17,45,101040,3.73
2020,1,1,18,0,101040,3.7
2020,1,1,18,15,101060,3.64
2020,1,1,18,30,101080,3.34
2020,1,1,18,45,101100,2.92
2020,1,1,19,0,101110,2.8000000000000003
2020,1,1,19,15,101120,3
2020,1,1,19,30,101130,3.12
2020,1,1,19,45,101140,3.13
2020,1,1,20,0,101150,3.12
2020,1,1,20,15,101150,3.0700000000000003
2020,1,1,20,30,101150,2.86
2020,1,1,20,45,101160,2.89
2020,1,1,21,0,101160,2.84
2020,1,1,21,15,101160,2.61
2020,1,1,21,30,101170,2.64
2020,1,1,21,45,101170,2.63
2020,1,1,22,0,101170,2.57
2020,1,1,22,15,101150,2.42
2020,1,1,22,30,101120,2.3000000000000003
2020,1,1,22,45,101100,2.2
2020,1,1,23,0,101080,2.32
2020,1,1,23,15,101070,2.23
2020,1,1,23,30,101060,2.44
2020,1,1,23,45,101060,2.3000000000000003
2020,1,2,0,0,101050,2.31
2020,1,2,0,15,101040,2.37
2020,1,2,0,30,101040,2.5100000000000002
2020,1,2,0,45,101030,2.47
2020,1,2,1,0,101020,2.5
2020,1,2,1,15,101010,2.36
2020,1,2,1,30,100990,2.24
2020,1,2,1,45,100970,2.08
2020,1,2,2,0,100950,2
2020,1,2,2,15,100950,1.8800000000000001
2020,1,2,2,30,100940,2.05
2020,1,2,2,45,100930,2
2020,1,2,3,0,100930,1.8
2020,1,2,3,15,100930,1.75
2020,1,2,3,30,100930,1.94
2020,1,2,3,45,100930,2
2020,1,2,4,0,100930,2.2800000000000002
2020,1,2,4,15,100930,2.15
2020,1,2,4,30,100940,1.77
2020,1,2,4,45,100950,1.55
2020,1,2,5,0,100950,1.3900000000000001
2020,1,2,5,15,100980,0.96
2020,1,2,5,30,101000,1.1300000000000001
2020,1,2,5,45,101030,0.99
2020,1,2,6,0,101050,1.07
2020,1,2,6,15,101070,1.44
2020,1,2,6,30,101090,1.6300000000000001
2020,1,2,6,45,101110,1.92
2020,1,2,7,0,101130,2.37
2020,1,2,7,15,101150,2.81
2020,1,2,7,30,101160,3.42
2020,1,2,7,45,101180,4.33
2020,1,2,8,0,101190,5.46
2020,1,2,8,15,101200,6.09
2020,1,2,8,30,101210,6.45
2020,1,2,8,45,101220,6.84
2020,1,2,9,0,101230,6.95
2020,1,2,9,15,101230,7.05
2020,1,2,9,30,101230,6.8
2020,1,2,9,45,101230,6.88
2020,1,2,10,0,101230,6.94
2020,1,2,10,15,101220,6.890000000000001
2020,1,2,10,30,101200,6.84
2020,1,2,10,45,101180,6.78
2020,1,2,11,0,101160,6.71
2020,1,2,11,15,101150,6.69
2020,1,2,11,30,101140,6.76
2020,1,2,11,45,101130,6.76
2020,1,2,12,0,101120,6.78
2020,1,2,12,15,101100,6.74
2020,1,2,12,30,101070,6.75
2020,1,2,12,45,101050,6.7700000000000005
2020,1,2,13,0,101030,6.87
2020,1,2,13,15,101010,6.7700000000000005
2020,1,2,13,30,100990,6.640000000000001
2020,1,2,13,45,100970,6.58
2020,1,2,14,0,100950,6.59
2020,1,2,14,15,100940,6.5600000000000005
2020,1,2,14,30,100930,6.49
2020,1,2,14,45,100920,6.53
2020,1,2,15,0,100910,6.63
2020,1,2,15,15,100910,6.61
2020,1,2,15,30,100920,6.48
2020,1,2,15,45,100920,6.17
2020,1,2,16,0,100930,6.07
2020,1,2,16,15,100930,5.8500000000000005
2020,1,2,16,30,100940,5.46
2020,1,2,16,45,100940,4.83
2020,1,2,17,0,100950,4.49
2020,1,2,17,15,100950,4.21
2020,1,2,17,30,100960,3.7
2020,1,2,17,45,100970,3.47
2020,1,2,18,0,100970,3.21
2020,1,2,18,15,100980,3.09
2020,1,2,18,30,100990,2.82
2020,1,2,18,45,101000,2.61
2020,1,2,19,0,101000,2.34
2020,1,2,19,15,101020,2.2600000000000002
2020,1,2,19,30,101040,2.46
2020,1,2,19,45,101060,2.56
2020,1,2,20,0,101070,2.56
2020,1,2,20,15,101080,2.58
2020,1,2,20,30,101090,2.5100000000000002
2020,1,2,20,45,101100,2.72
2020,1,2,21,0,101110,2.75
2020,1,2,21,15,101120,2.89
2020,1,2,21,30,101130,3
2020,1,2,21,45,101130,3.0500000000000003
2020,1,2,22,0,101140,3.0700000000000003
2020,1,2,22,15,101110,3.0500000000000003
2020,1,2,22,30,101080,2.98
2020,1,2,22,45,101050,2.86
2020,1,2,23,0,101020,2.86
2020,1,2,23,15,101020,2.73
2020,1,2,23,30,101010,2.66
2020,1,2,23,45,101010,2.6
2020,1,3,0,0,101010,2.69
2020,1,3,0,15,101000,2.72
2020,1,3,0,30,100990,2.71
2020,1,3,0,45,100980,2.77
2020,1,3,1,0,100970,2.9
2020,1,3,1,15,100960,2.7800000000000002
2020,1,3,1,30,100940,2.83
2020,1,3,1,45,100930,2.83
2020,1,3,2,0,100920,2.68
2020,1,3,2,15,100900,2.61
2020,1,3,2,30,100880,2.58
2020,1,3,2,45,100870,2.48
2020,1,3,3,0,100850,2.5100000000000002
2020,1,3,3,15,100840,2.56
2020,1,3,3,30,100840,2.5
2020,1,3,3,45,100830,2.64
2020,1,3,4,0,100830,2.68
2020,1,3,4,15,100830,2.45
2020,1,3,4,30,100840,2.81
2020,1,3,4,45,100840,2.65
2020,1,3,5,0,100850,2.65
2020,1,3,5,15,100860,2.74
2020,1,3,5,30,100870,2.7800000000000002
2020,1,3,5,45,100880,2.59
2020,1,3,6,0,100900,3.11
2020,1,3,6,15,100910,3.21
2020,1,3,6,30,100930,3.2600000000000002
2020,1,3,6,45,100950,3.0700000000000003
2020,1,3,7,0,100970,3.13
2020,1,3,7,15,100990,3.29
2020,1,3,7,30,101000,3.89
2020,1,3,7,45,101020,4.26
2020,1,3,8,0,101030,4.88
2020,1,3,8,15,101050,5.46
2020,1,3,8,30,101060,5.8100000000000005
2020,1,3,8,45,101080,6.08
2020,1,3,9,0,101100,6.3
2020,1,3,9,15,101100,6.25
2020,1,3,9,30,101100,6.18
2020,1,3,9,45,101110,6.16
2020,1,3,10,0,101110,6
2020,1,3,10,15,101100,5.96
2020,1,3,10,30,101080,5.99
2020,1,3,10,45,101060,6.05
2020,1,3,11,0,101040,5.8100000000000005
2020,1,3,11,15,101020,5.74
2020,1,3,11,30,101000,5.59
2020,1,3,11,45,100980,5.33
2020,1,3,12,0,100960,5.32
2020,1,3,12,15,100940,5.28
2020,1,3,12,30,100920,5.05
2020,1,3,12,45,100890,4.94
2020,1,3,13,0,100870,4.83
2020,1,3,13,15,100850,4.84
2020,1,3,13,30,100830,4.41
2020,1,3,13,45,100820,4.0200000000000005
2020,1,3,14,0,100800,3.94
2020,1,3,14,15,100790,4.13
2020,1,3,14,30,100780,4.24
2020,1,3,14,45,100780,4.7700000000000005
2020,1,3,15,0,100770,5.17
2020,1,3,15,15,100770,5.84
2020,1,3,15,30,100770,5.91
2020,1,3,15,45,100770,5.8
2020,1,3,16,0,100760,5.23
2020,1,3,16,15,100770,4.83
2020,1,3,16,30,100780,4.48
2020,1,3,16,45,100790,4.19
2020,1,3,17,0,100790,4.0600000000000005
2020,1,3,17,15,100800,3.86
2020,1,3,17,30,100810,3.54
2020,1,3,17,45,100820,3.17
2020,1,3,18,0,100820,2.82
2020,1,3,18,15,100830,2.77
2020,1,3,18,30,100830,2.69
2020,1,3,18,45,100830,2.56
2020,1,3,19,0,100840,2.25
2020,1,3,19,15,100850,2.2600000000000002
